"ZIP5","Electric","Total_Cars","Median_Household_Income","White_perc","BachOrHigher_perc","Zillow_Home_Value_Index","Total_Population","ZIP3","ev_perc","non_white","car_density","maj_white"
92130,3068,44698,166789,51.6,79.4,1777635.25,57197,"921",6.8638417826301,48.4,781.474552861164,1
92620,2546,41516,131521,30.2,69.2,1334307.58,60344,"926",6.13257539261971,69.8,687.988863847276,0
90290,283,5235,135262,78.4,67.3,1491091.05,5114,"902",5.40592168099331,21.6,1023.66053969495,1
90274,1382,22694,186144,62.2,76.7,2393416,24890,"902",6.08971534326254,37.8,911.771795901969,1
91302,1384,21391,146521,74.6,65.9,1867588.21,26241,"913",6.4700107521855,25.4,815.17472657292,1
90265,800,12497,175607,72.7,69.1,3332357,16868,"902",6.40153636872849,27.3,740.870286933839,1
91011,1084,17158,187297,54.3,73.5,1995786.37,20621,"910",6.31775265182422,45.7,832.064400368556,1
94904,624,9822,143338,77.9,71.4,2124747.88,13391,"949",6.35308491142334,22.1,733.477708908969,1
90068,950,15649,90733,71.3,63.4,1663477.53,21127,"900",6.07067544252029,28.7,740.710938609362,1
94941,1462,24063,183882,80.9,76.9,1939547.91,32711,"949",6.07571790716037,19.1,735.624101984042,1
92014,750,12294,178080,81.5,81.8,2432101.03,12823,"920",6.10053684724256,18.5,958.746003275365,1
92651,1311,21701,138734,82,68.2,2779699.88,24042,"926",6.04119625823695,18,902.628733050495,1
91105,620,10559,143892,55.4,71.1,1502869.91,12888,"911",5.87176815986362,44.6,819.289261328367,1
94040,1501,23557,153275,41,73.7,2382753.31,35800,"940",6.37177908901813,59,658.016759776536,0
94506,1302,20580,223362,56,73.5,1949979.28,27375,"945",6.3265306122449,44,751.780821917808,1
94131,959,16527,181329,54.9,78.6,1483157.03,29437,"941",5.80262600592969,45.1,561.436287665183,1
92127,2296,35359,156464,49.8,73.6,1390256.91,50852,"921",6.49339630645663,50.2,695.331550381499,0
94129,102,1821,218717,57.3,85.4,1903805.12,4199,"941",5.60131795716639,42.7,433.674684448678,1
95113,97,1583,124625,30.6,68.1,756448.31,2216,"951",6.12760581174984,69.4,714.350180505415,0
94555,1498,24884,177333,13.7,65.3,1352919.91,38522,"945",6.01993248673847,86.3,645.968537459114,0
